channel,Delta_G,C_G
identity,0.0,1.0
haar_random_mean,0.164624825059833,0.4390578379365433
depolarising_p=0.3,1.590134199438489e-17,0.9999999999999999
amp_damp_eps=0.3,0.043506941288123845,0.8044996831148172
coherent_X_q0_eps=0.3,0.10109271820739632,0.6032258604931819
